Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home
Senior Salesforce Developer,Quadrix Soft d.o.o.,2024-01-15,2024-02-15,Visoka škola ili Bachelor / Viša,Software Developer / Programmer / Engineer,Senior Salesforce Developer,senior,APEX,Niš,False,False,False
Data Scientist,Bridgewater Labs d.o.o.,2024-01-22,2024-02-07,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Data Scientist,intermediate,"Python, R",Novi Sad,False,False,False
Data Analyst,Playstudios International Europe,2023-12-29,2024-01-29,Visoka škola ili Bachelor / Viša,IT Analyst,Data Analyst,intermediate,"SQL, Python, R",Beograd | Hibrid,True,False,False
Software Configuration Engineer (Java),4Create Software d.o.o.,2024-01-16,2024-02-16,Visoka škola ili Bachelor / Viša,Java Developer,Software Configuration Engineer (Java),intermediate,"Linux, Unix, Java, OOP",Rad od kuće,False,True,True
Senior Product Owner,Playstudios International Europe,2024-01-16,2024-02-16,Visoka škola ili Bachelor / Viša,Menadžer proizvoda,Senior Product Owner,senior,"SCRUM, Agile",Beograd | Hibrid,True,False,False
Data Scientist,Grow Therapy,2023-11-16,2024-02-15,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Data Scientist,senior,"SQL, Python",Rad od kuće,False,False,True
Senior Data Scientist,HighLevel,2023-11-28,2024-01-28,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Senior Data Scientist,intermediate,"Python, R, Apache Spark, Flask",Rad od kuće,False,False,True
Senior Data Scientist,EPAM Systems d.o.o.,2023-11-24,2024-01-24,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Senior Data Scientist,senior,"SQL, Python, RDBMS, Cloud, R, Matlab, SPSS",Rad od kuće,False,False,True
Senior Data Scientist,Toptal,2023-01-23,2024-02-18,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Senior Data Scientist,senior,"Python, Cloud",Rad od kuće,False,False,True
Senior Data Scientist - Mobile Games,Carry1st,2023-12-11,2024-02-10,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Senior Data Scientist - Mobile Games,senior,"SQL, Python",Rad od kuće,False,False,True
Senior Full Stack Data Scientist,Syrup Tech,2023-10-03,2024-02-01,Visoka škola ili Bachelor / Viša,Full stack developer,Senior Full Stack Data Scientist,senior,"Apache, Python, Prototype, SaaS, RedShift",Rad od kuće,False,False,True
Data Architect,Tremend Software Consulting,2023-12-20,2024-02-19,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Data Architect,intermediate,"NoSQL, Python, AWS, Azure, Kafka",Rad od kuće,False,False,True
Senior Data Engineer,Syrup Tech,2023-10-03,2024-02-01,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Senior Data Engineer,senior,"Apache, Python, AWS, PostgreSQL, Prototype, SaaS, Cloud, RedShift",Rad od kuće,False,False,True
Business Analyst,Maids.cc,2023-11-16,2024-02-15,Visoka škola ili Bachelor / Viša,Poslovni analitičar,Business Analyst,junior,N/A,Rad od kuće,False,False,True
Staff Backend Software Engineer,neptune.ai,2023-12-22,2024-02-21,Visoka škola ili Bachelor / Viša,Backend developer,Staff Backend Software Engineer,senior,"SQL, Java, NoSQL, Kafka, Kubernetes",Rad od kuće,False,False,True
Analytics Engineer,Metabase,2023-10-31,2024-01-30,Visoka škola ili Bachelor / Viša,IT Analyst,Analytics Engineer,senior,SQL,Rad od kuće,False,False,True
Senior Backend Software Engineer,neptune.ai,2023-12-22,2024-02-21,Visoka škola ili Bachelor / Viša,Backend developer,Senior Backend Software Engineer,senior,"SQL, Java, NoSQL, Kubernetes",Rad od kuće,False,False,True
Frontend Software Engineer,neptune.ai,2023-12-22,2024-02-21,Visoka škola ili Bachelor / Viša,Frontend developer,Frontend Software Engineer,intermediate,TypeScript,Rad od kuće,False,False,True
Backend Software Engineer,neptune.ai,2023-12-22,2024-02-21,Visoka škola ili Bachelor / Viša,Backend developer,Backend Software Engineer,intermediate,Java,Rad od kuće,False,False,True
Product Specialist,neptune.ai,2023-12-22,2024-02-21,Visoka škola ili Bachelor / Viša,Menadžer proizvoda,Product Specialist,intermediate,Python,Rad od kuće,False,False,True
Technical Writer,neptune.ai,2023-12-22,2024-02-21,Visoka škola ili Bachelor / Viša,IT Technical Writer,Technical Writer,intermediate,Python,Rad od kuće,False,False,True
Senior Product Manager,Syrup Tech,2023-11-30,2024-01-30,Visoka škola ili Bachelor / Viša,Menadžer proizvoda,Senior Product Manager,senior,SQL,Rad od kuće,False,False,True
Technical Product Manager,Syrup Tech,2023-10-03,2024-02-01,Visoka škola ili Bachelor / Viša,IT Manager,Technical Product Manager,senior,N/A,Rad od kuće,False,False,True
"Principal Software Engineer, Backend",Syrup Tech,2023-10-03,2024-02-01,Visoka škola ili Bachelor / Viša,Backend developer,"Principal Software Engineer, Backend",senior,"JavaScript, ElasticSearch, AWS, PostgreSQL, Redis, REST, SaaS, TypeScript, Cloud, Aurora",Rad od kuće,False,False,True
Research Engineer,Chainlink Labs,2020-12-30,2024-02-08,Visoka škola ili Bachelor / Viša,IT Project Manager,Research Engineer,intermediate,N/A,Remote,False,False,True
"Principal Software Engineer, Full Stack",Syrup Tech,2023-10-03,2024-02-01,Visoka škola ili Bachelor / Viša,Full stack developer,"Principal Software Engineer, Full Stack",senior,"JavaScript, CSS, HTML, Angular, Java, ElasticSearch, Python, AWS, PostgreSQL, Redis, REST, SaaS, TypeScript, Cloud, Aurora",Rad od kuće,False,False,True
Senior BI Engineer,Oyster,2023-12-27,2024-01-27,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Senior BI Engineer,senior,"SQL, Python, R",Rad od kuće,False,False,True
Senior Backend Engineers,Funding Options - Tide,2024-01-18,2024-02-18,Visoka škola ili Bachelor / Viša,Backend developer,Senior Backend Engineers,intermediate,"Agile, Microservices",Rad od kuće,False,False,True
Senior Cloud Backend Engineer - Yokoy Team,Holycode d.o.o.,2023-11-24,2024-01-24,Visoka škola ili Bachelor / Viša,Backend developer,Senior Cloud Backend Engineer - Yokoy Team,senior,"Node.js, AWS, Azure, DevOps, SaaS, TypeScript, Cloud, MongoDB, RESTful",Rad od kuće,False,False,True
Cloud Backend Engineer - Yokoy Team,Holycode d.o.o.,2023-11-24,2024-01-24,Visoka škola ili Bachelor / Viša,Backend developer,Cloud Backend Engineer - Yokoy Team,intermediate,"JavaScript, AWS, Azure, DevOps, SaaS, TypeScript, Cloud, MongoDB, RESTful",Rad od kuće,False,False,True
AI Controls Solutions Engineer,Phaidra,2023-11-10,2024-02-09,Visoka škola ili Bachelor / Viša,Software Developer / Programmer / Engineer,AI Controls Solutions Engineer,intermediate,"Python, XML, JSON, SCRUM, Cloud, Agile",Rad od kuće,False,False,True
Technical Support Engineer,TelQ Telecom,2024-01-22,2024-02-22,Srednja škola,IT Help Desk / Support,Technical Support Engineer,intermediate,"Jira, Confluence",Beograd,True,False,False
